ID              OFFSET      SIZE        READ/WRITE
MAC_ADDR        0x02        0x8         rw
GW_ADDR         0x0c        0x4         rw
IP_ADDR         0x10        0x4         rw
PORT            0x20        0x2         rw
NETMASK         0x38        0x4         rw
ENABLE          0x20        0x1         w
MC_IP           0x30        0x4         rw
MC_MASK         0x34        0x4         rw
